add-none,2,100,400,379286,948,0
add-none,2,1000,4000,411628,102,117
add-none,2,10000,40000,815793,20,-2297
add-none,2,100000,400000,6635574,16,-19139
add-none,4,100,800,505774,632,0
add-none,4,1000,8000,571668,71,-13
add-none,4,10000,80000,1106639,13,1066
add-none,4,100000,800000,10228373,12,-5444
add-none,8,100,1600,782290,488,13
add-none,8,1000,16000,847109,52,600
add-none,8,10000,160000,2535709,15,-1865
add-none,8,100000,1600000,22704627,14,-34895
add-none,12,100,2400,855016,356,35
add-none,12,1000,24000,1309582,54,1254
add-none,12,10000,240000,4503738,18,-18896
add-none,12,100000,2400000,38985445,16,-186084
add-yield-none,2,10,40,379182,9479,-3
add-yield-none,4,10,80,486922,6086,0
add-yield-none,8,10,160,683719,4273,14
add-yield-none,12,10,240,707585,2948,5
add-yield-none,2,20,80,380723,4759,0
add-yield-none,4,20,160,437191,2732,3
add-yield-none,8,20,320,757896,2368,24
add-yield-none,12,20,480,1617112,3368,80
add-yield-none,2,40,160,393326,2458,0
add-yield-none,4,40,320,570473,1782,38
add-yield-none,8,40,640,614879,960,55
add-yield-none,12,40,960,1326574,1381,-20
add-yield-none,2,80,320,470670,1470,3
add-yield-none,4,80,640,534249,834,55
add-yield-none,8,80,1280,779371,608,68
add-yield-none,12,80,1920,776147,404,119
add-yield-none,2,100,400,445450,1113,0
add-yield-none,4,100,800,577380,721,49
add-yield-none,8,100,1600,616424,385,-42
add-yield-none,12,100,2400,851623,354,41
add-yield-none,2,1000,4000,1598752,399,-84
add-yield-none,4,1000,8000,1671177,208,0
add-yield-none,8,1000,16000,2039039,127,51
add-none,12,1000,24000,1028211,42,0
add-yield-none,2,10000,40000,12002938,300,-9
add-yield-none,4,10000,80000,12950640,161,-595
add-yield-none,8,10000,160000,13564931,84,-8
add-yield-none,12,10000,240000,17455945,72,117
add-yield-none,2,100000,400000,121418990,303,-213
add-yield-none,4,100000,800000,124050106,155,-1740
add-yield-none,8,100000,1600000,132474736,82,-534
add-yield-none,12,100000,2400000,168993250,70,6522
add-none,1,10,20,366875,18343,0
add-none,1,20,40,367673,9191,0
add-none,1,40,80,360455,4505,0
add-none,1,80,160,360146,2250,0
add-none,1,100,200,367056,1835,0
add-none,1,1000,2000,376854,188,0
add-none,1,10000,20000,533526,26,0
add-none,1,100000,200000,2096774,10,0
add-yield-m,2,10000,40000,42666061,1066,0
add-yield-m,4,10000,80000,99446123,1243,0
add-yield-m,8,10000,160000,229364560,1433,0
add-yield-m,12,10000,240000,358051895,1491,0
add-yield-c,2,10000,40000,24142649,603,0
add-yield-c,4,10000,80000,48649253,608,0
add-yield-c,8,10000,160000,104227106,651,0
add-yield-c,12,10000,240000,158824072,661,0
add-yield-s,2,1000,4000,2627954,656,0
add-yield-s,4,1000,8000,5883389,735,0
add-yield-s,8,1000,16000,14124966,882,0
add-yield-s,12,1000,24000,39298371,1637,0
add-m,1,10000,20000,968936,48,0
add-m,2,10000,40000,4232119,105,0
add-m,4,10000,80000,12244926,153,0
add-m,8,10000,160000,26504072,165,0
add-m,12,10000,240000,43102170,179,0
add-c,1,10000,20000,696511,34,0
add-c,2,10000,40000,2361664,59,0
add-c,4,10000,80000,6326654,79,0
add-c,8,10000,160000,11859358,74,0
add-c,12,10000,240000,18246175,76,0
add-s,1,10000,20000,648536,32,0
add-s,2,10000,40000,4904974,122,0
add-s,4,10000,80000,15320412,191,0
add-s,8,10000,160000,58216598,363,0
add-s,12,10000,240000,121556659,506,0
